0 13 1
0 36 1
0 135 1
1 20 1
1 86 1
1 97 1
1 123 1
2 2 2
2 21 1
2 84 1
2 142 1
3 29 3
4 66 1
4 76 1
4 133 1
5 81 2
5 117 3
6 24 1
6 58 1
6 105 2
7 145 1
7 149 1
8 35 1
8 127 1
9 61 2
9 94 1
9 152 1
10 25 1
10 125 1
11 28 1
11 69 1
12 9 1
12 14 1
12 30 1
13 33 1
13 55 1
13 146 2
14 26 5
14 43 1
14 67 1
14 72 1
15 41 1
15 124 1
16 56 1
16 74 1
16 106 1
17 129 2
17 132 1
18 22 2
18 96 1
19 68 1
19 83 1
19 114 1
19 130 1
20 27 4
21 51 1
21 101 2
22 34 2
22 44 1
22 91 1
23 7 2
23 69 1
24 52 1
24 69 2
25 42 1
25 71 1
26 5 1
26 92 1
27 88 1
27 108 1
28 45 2
28 50 2
28 65 2
28 110 1
29 12 1
29 39 2
29 104 2
29 126 1
30 82 1
30 102 1
31 111 1
31 154 1
32 37 3
32 122 3
33 134 1
33 140 1
34 10 1
34 115 1
35 0 2
35 4 1
35 47 1
35 79 1
36 32 1
36 148 1
37 70 1
37 89 1
37 118 1
37 137 1
37 138 1
38 3 1
38 38 3
39 53 2
39 116 1
40 48 3
40 49 1
40 85 1
41 16 2
41 77 1
41 109 1
42 69 1
42 90 2
43 151 1
43 153 1
44 9 1
44 100 1
44 147 1
45 18 1
45 150 1
46 128 3
46 141 2
47 6 1
47 23 1
47 78 1
48 15 1
48 46 2
49 8 3
49 59 1
49 120 1
50 1 1
50 99 1
50 103 1
51 31 1
51 136 1
52 19 1
52 54 1
52 60 1
52 64 1
52 73 1
52 95 1
52 98 1
52 112 1
52 144 1
53 93 12
53 107 3
54 63 1
54 143 1
55 62 1
55 75 1
55 87 1
56 80 1
56 121 1
57 17 1
57 119 1
57 139 1
58 57 4
59 40 1
59 131 2
60 11 2
60 113 5
